Date, Open, High, Low, Close
12/31/13, 1842.61, 1849.44, 1842.41, 1848.36
12/30/13, 1841.47, 1842.47, 1838.77, 1841.07
12/27/13, 1842.97, 1844.89, 1839.81, 1841.40
12/26/13, 1834.96, 1842.84, 1834.96, 1842.02
12/24/13, 1828.02, 1833.32, 1828.02, 1833.32
12/23/13, 1822.92, 1829.75, 1822.92, 1827.99
12/20/13, 1810.39, 1823.75, 1810.25, 1818.32
12/19/13, 1809.00, 1810.88, 1801.35, 1809.60
12/18/13, 1781.46, 1811.08, 1767.99, 1810.65
12/17/13, 1786.47, 1786.77, 1777.05, 1781.00
12/16/13, 1777.48, 1792.22, 1777.48, 1786.54
12/13/13, 1777.98, 1780.92, 1772.45, 1775.32
12/12/13, 1781.71, 1782.99, 1772.28, 1775.50
12/11/13, 1802.76, 1802.97, 1780.09, 1782.22
12/10/13, 1807.60, 1808.52, 1801.75, 1802.62
12/09/13, 1806.21, 1811.52, 1806.21, 1808.37
12/06/13, 1788.36, 1806.04, 1788.36, 1805.09
12/05/13, 1792.82, 1792.82, 1783.38, 1785.03
12/04/13, 1793.15, 1799.80, 1779.09, 1792.81
12/03/13, 1800.10, 1800.10, 1787.85, 1795.15
12/02/13, 1806.55, 1810.02, 1798.60, 1800.90
11/29/13, 1808.69, 1813.55, 1803.98, 1805.81
11/27/13, 1803.48, 1808.27, 1802.77, 1807.23
11/26/13, 1802.87, 1808.42, 1800.77, 1802.75
11/25/13, 1806.33, 1808.10, 1800.58, 1802.48
11/22/13, 1797.21, 1804.84, 1794.70, 1804.76
11/21/13, 1783.52, 1797.16, 1783.52, 1795.85
11/20/13, 1789.59, 1795.73, 1777.23, 1781.37
11/19/13, 1790.79, 1795.51, 1784.72, 1787.87
11/18/13, 1798.82, 1802.33, 1788.00, 1791.53
11/15/13, 1790.66, 1798.22, 1790.66, 1798.18
11/14/13, 1782.75, 1791.53, 1780.22, 1790.62
11/13/13, 1764.37, 1782.00, 1760.64, 1782.00
11/12/13, 1769.51, 1771.78, 1762.29, 1767.69
11/11/13, 1769.96, 1773.44, 1767.85, 1771.89
11/08/13, 1748.37, 1770.78, 1747.63, 1770.61
11/07/13, 1770.74, 1774.54, 1746.20, 1747.15
11/06/13, 1765.00, 1773.74, 1764.40, 1770.49
11/05/13, 1765.67, 1767.03, 1755.76, 1762.97
11/04/13, 1763.40, 1768.78, 1761.56, 1767.93
